N° BCE,Organisation publique,Catégorie,Nom du bâtiment,Adresse,Indice d’émission de CO2 [kg éq CO2/(m².an)],Niveau de performance énergétique [kWhEP/(m².an)],Classe
0953.449.919,PARLEMENT EUROPEEN,1 - Services administratifs,Montoyer 75,"Rue Montoyer 75, 1050 Ixelles",76.41,465.82,E
0207.365.709,Administration Communale d'Evere,"12 - Musées, bibliothèques, médiathèques et services similaires",Moulin_Musée Bruxellois du Moulin et de l'Alimentation,"Rue du Moulin à Vent 21, 1140 Evere",28.45,161.75,C+
0416.862.349,Clinique Sanatia - Centre médico-social Sanatia,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",MSP,"Rue du Collège 45, 1050 Ixelles",38.56,226.96,C+
0416.862.349,Clinique Sanatia - Centre médico-social Sanatia,"8 - Maisons de repos, maisons de revalidation et de soins et services similaires, établissements pénitentiaires",MSP,"Rue de Venise 50, 1050 Ixelles",57.19,319.60,C-
0949.383.342,Commission européenne,1 - Services administratifs,N105,"Avenue des Nerviens 105, 1040 Etterbeek",61.86,373.09,D
0308.357.159,SPF Finances,1 - Services administratifs,North Galaxy,"Boulevard du Roi Albert II 33, 1030 Schaerbeek",56.89,351.22,D
0308.357.753,Service public fédéral Justice,1 - Services administratifs,North Gate I,"Boulevard du Roi Albert II 6, 1000 Bruxelles",74.64,456.67,E
0314.595.348,"SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,North Gate II,"Boulevard du Roi Albert II 8, 1000 Bruxelles",72.73,445.95,E+
0314.595.348,"SPF Economie, PME, Classes moyennes et Energie",1 - Services administratifs,North Gate III,"Boulevard du Roi Albert II 16, 1000 Bruxelles",62.72,373.37,D
0206.737.484,L'Office national de l'emploi,1 - Services administratifs,Office national de l'emploi,"Chaussée de Charleroi 60, 1060 Saint-Gilles",23.87,145.53,B
0206.737.484,L'Office national de l'emploi,1 - Services administratifs,Office National de l'Emploi,"Boulevard de l'Empereur 7, 1000 Bruxelles",57.48,302.33,C-
0206.731.645,Office national de Sécurité sociale,1 - Services administratifs,Office National de Sécurité Sociale (ONSS),"Place Victor Horta 11, 1060 Saint-Gilles",41.96,258.12,C
0206.732.932,ONVA,1 - Services administratifs,Office National des Vacances Annuelles,"Rue Montagne aux Herbes Potagères 48, 1000 Bruxelles",35.80,214.19,C+
0240.682.635,Commission communautaire flamande,3 - Enseignement du jour OU du soir,Onderwijsinstelling Kasterlinden,"Rue de Grand-Bigard 434, 1082 Berchem-Sainte-Agathe",21.81,133.46,C
0949.383.342,Commission européenne,1 - Services administratifs,ORBN,"Square Frère-Orban 8, 1040 Bruxelles",40.80,252.46,C
0241.347.282,Bruxelles-Propreté,"13 - Ateliers, centres funéraires, dépôts, ...",Palais,"Rue des Palais 314, 1030 Schaerbeek",49.17,286.17,D-
0895.408.978,Palais des Beaux-Arts de Bruxelles,11 - Théatres et centres culturels,Palais des Beaux-Arts,"Rue Ravenstein 23, 1000 Bruxelles",99.13,600.94,G
0949.383.342,Commission européenne,2 - Crèches,PALM,"Avenue Palmerston 6, 1000 Bruxelles",46.63,232.79,C
0207.365.610,Administration communale d'Etterbeek,3 - Enseignement du jour OU du soir,Paradis des Enfants (Ecole),"Avenue des Volontaires 110, 1040 Etterbeek",37.65,223.09,D-
0850.012.483,Parlement de la Communauté française,1 - Services administratifs,Parlement de la Fédération Wallonie Bruxelles,"Rue Royale 72, 1000 Bruxelles",76.01,463.81,E
0207.389.859,Commune de Woluwe-Saint-Lambert,11 - Théatres et centres culturels,Pavillon  Roodebeek,"Chaussée de Roodebeek 314, 1200 Woluwe-Saint-Lambert",25.77,150.94,C+
0664.820.875,Bureau bruxellois de la planification (Perspective Brussels),1 - Services administratifs,Perspective.brussels,"Rue de Namur 59, 1000 Bruxelles",44.10,267.39,C-
0419.700.390,ASBL Triton,9 - Piscines,Piscine Triton,"Avenue des Anciens Combattants 260, 1140 Evere",1162.71,6681.05,D
0316.380.841,Ministère de la Communauté flamande,1 - Services administratifs,Place de Louvain 12,"Place de Louvain 12, 1000 Bruxelles",31.67,182.64,B-
0949.383.342,Commission européenne,1 - Services administratifs,PLB3,"Rue Philippe Le Bon 1, 1000 Bruxelles",62.79,382.23,D-
0941.792.893,Hôpital Erasme,7 - Centres de santé et services similaires,Polyclinique du Lothier,"Boulevard Baudouin 27, 1000 Bruxelles",56.99,348.28,D
0967.302.311,Parlement de la Région de Bruxelles-Capitale,1 - Services administratifs,Raad van de Vlaamse Gemeenschapscommissie,"Rue du Lombard 67, 1000 Bruxelles",40.01,240.09,C
